Code;Debe;Haber;
1000000000;0.00;3000.00;
1130000000;0.00;3236.10;
1290000000;0.00;14618.86;
2170000001;1156.20;0.00;
2170000003;12000.00;0.00;
2810000001;0.00;640.83;
2810000003;0.00;1666.67;
4000000015;500.00;0.00;
4300000001;16433.93;0.00;
4300000002;14520.00;0.00;
4650000001;0.00;17500.00;
4730000000;449.30;0.00;
4750000000;0.00;4814.02;
4751000001;0.00;3374.36;
4751000002;0.00;29.76;
4751000004;0.00;237.66;
5720000001;4058.83;0.00;
