7680000000;INGRESOS EXCEPCIONALES;
Fecha;Concepto;Referencia;Debe;Haber;Saldo;
23/03/2026;INGRESO PC COMPONENTES Y MULTIMEDIA SLU pccomponentes;;0.00;0.01;-0.01;
;;Sumas;0.00;0.01;
