7000000001;VENTAS DE MERCADERIAS;
Fecha;Concepto;Referencia;Debe;Haber;Saldo;
14/02/2026;FACTURA SOLID MACHINE VISION S.L.;F-1-2026;0.00;12735.00;-12735.00;
21/02/2026;FACTURA MERCAGRISA S.A.;F-2-2026;0.00;800.00;-13535.00;
;;Sumas;0.00;13535.00;
