6070000001;TRABAJOS REALIZADOS POR CUENTA DE TERCEROS;
Fecha;Concepto;Referencia;Debe;Haber;Saldo;
31/03/2026;FACTURA GARVI&PORTILLO2017 S.L.;000085;42.00;0.00;42.00;
;;Sumas;42.00;0.00;
