2810000001;AMORTIZACIÓN ACUMULADA ORDENADOR MSI;
Fecha;Concepto;Referencia;Debe;Haber;Saldo;
01/01/0001;APERTURA;;0.00;640.83;-640.83;
;;Sumas;0.00;640.83;
